post_content,question_text,answer,explanation,image_url,difficulty
“スイカの皮を煮出したお茶”を毎日飲むだけで高血圧が治るとSNSで話題に！,この健康情報は信頼できる。○か×か？,✕,SNS発の健康法は科学的根拠がないことが多く、信頼できません。医療機関や公的情報を確認すべきです。,,2
気象庁が、今後1週間の豪雨リスクを全国的に発表。公式サイトとテレビで注意を呼びかけ。,この情報は信頼できる。○か×か？,◯,公的機関（気象庁）による発表は信頼性が高く、正確な情報に基づいています。,,2
有名俳優が“実はクローン人間だった”とする動画がバズり中！本人は沈黙。,本人が否定していないので、事実の可能性が高い。○か×か？,✕,突飛な主張には明確な証拠が必要です。“否定しない＝事実”ではありません。,,1
東北大学と国立がん研究センターの共同研究で、“野菜摂取ががんリスクを下げる”という結果が発表された。,この研究結果は信頼できる。○か×か？,◯,具体的な大学名・研究機関が記載されており、信用できる出典です。,,3
自称“霊感のある主婦”が、“来週火曜日に関東大地震が起こる”とYouTubeで断言！,この地震情報は信頼できる。○か×か？,✕,科学的には地震の日時を予知することは不可能です。専門機関の情報を確認しましょう。,,1
大手新聞社Aが報じた経済対策の記事に、『編集部によるファクトチェック済』と明記。,このニュースは信頼性が高い。○か×か？,◯,ファクトチェックが行われている報道は、誤報防止への努力が見られ信頼性が高まります。,,1
“地球の裏側で巨大隕石が落ちたが、NASAが隠している”という話が海外掲示板で話題。,NASAが公表していないので、何かを隠していると考えてよい。○か×か？,✕,“隠されている”という言い方はフェイクの常套手段。公式情報と照らし合わせることが大切です。,,2
厚生労働省が“子どものワクチン接種状況”を最新データ付きで公表。公式サイトで閲覧可能。,この情報は信頼できる。○か×か？,◯,公的機関による公表データは、原則として事実に基づいています。,,2
実は世界はAIにすでに支配されていて、政府は全員ロボットだった!?,こうした話も“ありえるかも”と思って信じておいた方がよい。○か×か？,✕,極端すぎる主張は冷静に判断しましょう。論理・証拠のない話に根拠はありません。,,1
ある新聞社が過去の記事に誤りがあったことを認め、1面で訂正・謝罪を掲載。,この新聞社は信頼できない。○か×か？,✕,誤報を訂正する姿勢は報道機関として誠実です。訂正があるからこそ信頼されるのです。,,3
ある自然食品を食べ続けた男性が、1か月で糖尿病が完治！『薬を飲むより、この果物の方が効く』とSNSで話題。,この情報は信頼できる医学情報である。○か×か？,✕,個人の体験談や劇的な効果を強調する投稿は、科学的根拠がない可能性が高いです。医療情報は必ず専門機関や医師の確認が必要です。,,2
某国が“秘密兵器”を開発し、月に基地を建設中！？ 衛星写真らしき画像も流出！,画像があるので、信頼できる情報といえる。○か×か？,✕,画像は加工・誤用・AI生成の可能性があります。ニュースの裏付けとしては不十分で、情報源の確認が必要です。,,3
“政府がワクチンに追跡チップを入れていた”とする内部告発文書がSNS上に流出！,「内部告発」と書かれていれば、その情報は事実とみなしてよい。○か×か？,✕,“内部告発”という言葉を使って信憑性を演出するフェイクが多くあります。公的な調査や報道機関の裏付けが必要です。,,3
来月、日本に大地震が来ると予言者が警告！“震源地と時間も的中する”と話題に。,地震予知の情報は信じて行動すべきである。○か×か？,✕,科学的には「地震の正確な発生日・時間の予知」は現在不可能です。公的な防災機関の情報を信頼しましょう。,,1
泣いていた少年の手を握ったのはゾウだった──“動物の感動ストーリー”が100万回再生。,感動的な話だから信じても問題ない。○か×か？,✕,感動系のフェイクも多く存在します。意図的に共感を誘って拡散され、広告収入や誘導リンクに使われることがあります。,,2
新型スマートフォンに“脳波読み取り機能”が搭載されており、政府が個人の思考を監視しているという情報がSNSで拡散中。,スマホに脳波読み取り機能があるという話は現実的で信頼できる。○か×か？,✕,現代の技術では、スマホだけで思考を読み取ることは不可能です。陰謀論的な内容は冷静に疑う必要があります。,,1
朝にバナナを3本食べると記憶力が飛躍的に向上するという“フランスの研究”が話題。,“海外の研究”とあれば信頼してもよい。○か×か？,✕,「海外の研究」という言葉は曖昧で、出典不明な情報に使われることが多いです。具体的な論文名や大学名の確認が必要です。,,2
人気アイドルが急に引退発表！“ある政治団体と関係があった”と暴露系アカウントが投稿。,暴露アカウントの情報は、裏が取れているので信頼してよい。○か×か？,✕,“暴露系”アカウントは真偽不明の噂を流すことが多く、信頼性は極めて低いです。一次情報を確認しましょう。,,2
有名アーティストの“入場無料ライブ”が突如開催されるとSNSで告知が拡散！,SNSで広まっているイベント告知は、そのまま信じて現地に行ってよい。○か×か？,✕,偽のイベント情報で人を集める悪質な事例があります。公式アカウントやホームページで必ず確認しましょう。,,3
“日本はかつて月に行っていた”という“歴史の真実”を描いた動画が話題。,“隠された歴史”という言葉があれば、真実の可能性が高い。○か×か？,✕,「隠された真実」「歴史は嘘だった」などの言葉は、フェイクを信じさせる典型的な手口です。信頼できる史料や研究に基づいていない情報は要注意です。,,1